latitude,longitude
41.968919,-87.935101
41.973919,-87.935101
41.978919,-87.935101
41.983919,-87.935101
41.988919,-87.935101
41.993919,-87.935101
41.998919,-87.935101
42.003919,-87.935101
41.963919,-87.930101
41.968919,-87.930101
41.973919,-87.930101
41.978919,-87.930101
41.983919,-87.930101
41.988919,-87.930101
41.993919,-87.930101
41.998919,-87.930101
42.003919,-87.930101
41.958919,-87.925101
41.963919,-87.925101
41.968919,-87.925101
41.973919,-87.925101
41.978919,-87.925101
41.983919,-87.925101
41.988919,-87.925101
41.993919,-87.925101
41.998919,-87.925101
42.003919,-87.925101
41.958919,-87.920101
41.963919,-87.920101
41.968919,-87.920101
41.973919,-87.920101
41.978919,-87.920101
41.983919,-87.920101
41.988919,-87.920101
41.993919,-87.920101
41.998919,-87.920101
42.003919,-87.920101
41.958919,-87.915101
41.963919,-87.915101
41.968919,-87.915101
41.973919,-87.915101
41.978919,-87.915101
41.983919,-87.915101
41.988919,-87.915101
41.993919,-87.915101
41.998919,-87.915101
42.003919,-87.915101
41.953919,-87.910101
41.958919,-87.910101
41.963919,-87.910101
41.968919,-87.910101
41.973919,-87.910101
41.978919,-87.910101
41.983919,-87.910101
41.988919,-87.910101
41.993919,-87.910101
41.998919,-87.910101
42.003919,-87.910101
41.953919,-87.905101
41.958919,-87.905101
41.963919,-87.905101
41.968919,-87.905101
41.973919,-87.905101
41.978919,-87.905101
41.983919,-87.905101
41.988919,-87.905101
41.993919,-87.905101
41.998919,-87.905101
42.003919,-87.905101
41.953919,-87.900101
41.958919,-87.900101
41.963919,-87.900101
41.968919,-87.900101
41.973919,-87.900101
41.978919,-87.900101
41.983919,-87.900101
41.988919,-87.900101
41.993919,-87.900101
41.998919,-87.900101
42.003919,-87.900101
41.953919,-87.895101
41.958919,-87.895101
41.963919,-87.895101
41.968919,-87.895101
41.973919,-87.895101
41.978919,-87.895101
41.983919,-87.895101
41.988919,-87.895101
41.993919,-87.895101
41.998919,-87.895101
42.003919,-87.895101
41.958919,-87.890101
41.963919,-87.890101
41.968919,-87.890101
41.973919,-87.890101
41.978919,-87.890101
41.983919,-87.890101
41.988919,-87.890101
41.993919,-87.890101
41.998919,-87.890101
41.958919,-87.885101
41.963919,-87.885101
41.968919,-87.885101
41.973919,-87.885101
41.978919,-87.885101
41.983919,-87.885101
41.988919,-87.885101
41.993919,-87.885101
41.973919,-87.880101
41.978919,-87.880101
41.983919,-87.880101
