latitude,longitude,weight,type
41.94392,-87.8151,1561,trauma
41.94892,-87.8151,1628,trauma
41.97892,-87.8151,1386,trauma
41.98392,-87.8151,1430,trauma
41.98892,-87.8151,1438,trauma
41.99392,-87.8151,1473,trauma
41.99892,-87.8151,1505,trauma
42.00392,-87.8151,1576,trauma
42.00892,-87.8151,1675,trauma
42.01392,-87.8151,1647,trauma
41.93892,-87.8101,1468,trauma
41.94392,-87.8101,1505,trauma
41.94892,-87.8101,1583,trauma
41.97892,-87.8101,1328,trauma
41.98392,-87.8101,1311,trauma
41.98892,-87.8101,1425,trauma
41.99392,-87.8101,1433,trauma
41.99892,-87.8101,1460,trauma
42.00392,-87.8101,1568,trauma
42.00892,-87.8101,1616,trauma
42.01392,-87.8101,1638,trauma
41.90892,-87.8051,996,trauma
41.91392,-87.8051,1070,trauma
41.91892,-87.8051,1163,trauma
41.92392,-87.8051,1179,trauma
41.92892,-87.8051,1292,trauma
41.93392,-87.8051,1357,trauma
41.93892,-87.8051,1434,trauma
41.94392,-87.8051,1504,trauma
41.94892,-87.8051,1536,trauma
41.95392,-87.8051,1471,trauma
41.96892,-87.8051,1388,trauma
41.97392,-87.8051,1383,trauma
41.97892,-87.8051,1269,trauma
41.98392,-87.8051,1322,trauma
41.98892,-87.8051,1401,trauma
41.99392,-87.8051,1420,trauma
41.99892,-87.8051,1475,trauma
41.77392,-87.8001,1080,trauma
41.77892,-87.8001,1033,trauma
41.78392,-87.8001,955,trauma
41.78892,-87.8001,932,trauma
41.79392,-87.8001,870,trauma
41.91392,-87.8001,1119,trauma
41.91892,-87.8001,1193,trauma
41.92392,-87.8001,1254,trauma
41.92892,-87.8001,1324,trauma
41.93392,-87.8001,1399,trauma
41.93892,-87.8001,1451,trauma
41.94392,-87.8001,1519,trauma
41.94892,-87.8001,1506,trauma
41.95392,-87.8001,1494,trauma
41.96892,-87.8001,1414,trauma
41.97392,-87.8001,1329,trauma
41.97892,-87.8001,1301,trauma
41.98392,-87.8001,1298,trauma
41.98892,-87.8001,1395,trauma
41.99392,-87.8001,1391,trauma
41.99892,-87.8001,1519,trauma
41.77392,-87.7951,1115,trauma
41.77892,-87.7951,1138,trauma
41.78392,-87.7951,1020,trauma
41.78892,-87.7951,980,trauma
41.79392,-87.7951,928,trauma
41.79892,-87.7951,971,trauma
41.91392,-87.7951,1105,trauma
41.91892,-87.7951,1166,trauma
41.92392,-87.7951,1195,trauma
41.92892,-87.7951,1289,trauma
41.93392,-87.7951,1360,trauma
41.93892,-87.7951,1431,trauma
41.94392,-87.7951,1492,trauma
41.94892,-87.7951,1473,trauma
41.95392,-87.7951,1594,trauma
41.95892,-87.7951,1406,trauma
41.96892,-87.7951,1353,trauma
41.97392,-87.7951,1294,trauma
41.97892,-87.7951,1288,trauma
41.98392,-87.7951,1301,trauma
41.98892,-87.7951,1277,trauma
41.99392,-87.7951,1409,trauma
41.99892,-87.7951,1470,trauma
41.77392,-87.7901,1145,trauma
41.77892,-87.7901,1140,trauma
41.78392,-87.7901,1087,trauma
41.78892,-87.7901,1047,trauma
41.79392,-87.7901,991,trauma
