latitude,longitude
41.968762,-87.70387
41.753549,-87.5662502
41.764703,-87.6833121
41.899155,-87.726526
41.790258,-87.66239
41.8793249,-87.7405902
41.8796708,-87.7354535
41.7921996,-87.6633389
41.8498469,-87.701862
41.920647,-87.752698
41.7691195,-87.6249673
41.790449,-87.6490479
41.987547,-87.657122
41.7414748,-87.6462285
41.870492,-87.747137
41.788104,-87.692766
41.757191,-87.590571
41.7791945,-87.6860993
41.7230766,-87.6602959
41.7626,-87.683579
41.8966006,-87.6357174
42.022792,-87.674571
41.730445,-87.609353
41.760564,-87.572815
42.019401,-87.666521
42.019401,-87.666521
41.770517,-87.673975
41.792735,-87.628024
41.8554047,-87.7041453
41.7874666,-87.6174363
41.7736458,-87.6932603
41.7869017,-87.6547039
41.9017182,-87.6869317
41.8500197,-87.7003002
41.88448,-87.759271
41.854945,-87.71791
41.7783997,-87.6156116
41.893939,-87.7139849
41.9428657,-87.7187318
41.910704,-87.6621738
41.797418,-87.677176
41.802979,-87.668814
41.8464704,-87.6952859
41.7517645,-87.563802
41.7517645,-87.563802
41.7672117,-87.6310705
41.8609168,-87.7055142
41.8771722,-87.7207231
41.806691,-87.6628269
41.676074,-87.618118
41.68295,-87.6558079
41.7984098,-87.6192972
41.769941,-87.68863
41.794168,-87.619449
41.7493331,-87.6731166
41.704656,-87.6099955
41.679448,-87.645966
41.893186,-87.770248
41.7938359,-87.6208121
41.8522437,-87.6709325
41.776642,-87.603683
41.7510188,-87.5514998
41.7682718,-87.6882869
41.887939,-87.758182
41.9100247,-87.7094805
41.850248,-87.676096
41.7513121,-87.6027422
41.740718,-87.562774
41.7769868,-87.7131253
41.8387927,-87.7125413
41.798865,-87.702833
41.9959672,-87.6873938
41.8368979,-87.7219179
41.7778881,-87.6004175
41.7512965,-87.6051528
41.7864116,-87.6923934
41.75738,-87.6712639
41.7977555,-87.659833
41.9044525,-87.7251511
41.8720509,-87.6886237
41.7285571,-87.6604205
41.7630938,-87.663794
41.78356,-87.642735
41.840336,-87.732076
41.79368,-87.6609455
41.7580533,-87.6369469
41.653046,-87.618315
41.7811842,-87.6703337
41.9153132,-87.7313735
41.92065,-87.751464
41.786829,-87.6453219
41.761593,-87.659029
41.758965,-87.590635
41.7803591,-87.6072079
41.7803591,-87.6072079
41.7803591,-87.6072079
41.750716,-87.65889
41.6880243,-87.6229893
41.8441475,-87.7306582
41.782672,-87.691398
41.777085,-87.696121
42.0053874,-87.6699751
41.7476402,-87.605048
41.820704,-87.702299
41.8728396,-87.6985446
41.80977,-87.706794
41.6979769,-87.6304715
41.949998,-87.749949
41.6851549,-87.6373269
41.778421,-87.608696
41.7687312,-87.6518047
41.8551718,-87.722697
41.7191199,-87.649484
41.8643492,-87.7226954
41.898592,-87.7682899
41.8701257,-87.6984676
41.7882932,-87.6340465
41.8769479,-87.7378068
41.8131033,-87.6115306
41.9030022,-87.6882675
41.73596,-87.607061
41.806966,-87.672376
41.9062332,-87.7313152
41.8311859,-87.6850778
41.8675492,-87.6848382
41.762502,-87.659056
41.7500136,-87.6853069
41.7301654,-87.6824443
41.7803076,-87.6108266
41.8878192,-87.7553241
41.8282461,-87.6947949
41.887957,-87.752015
41.811649,-87.703208
41.911259,-87.771868
41.8308091,-87.6400368
41.730315,-87.653523
41.730315,-87.653523
41.6740203,-87.6430119
41.8651125,-87.6589404
41.8833752,-87.7257469
41.6970132,-87.623602
41.9472809,-87.669233
41.797418,-87.677176
41.797418,-87.677176
41.741737,-87.709642
41.7503533,-87.6635231
41.842498,-87.7101969
41.781942,-87.612409
41.778442,-87.604992
41.9102649,-87.6980368
41.770619,-87.657044
41.7503777,-87.6610317
41.8256296,-87.6898248
41.750015,-87.54713
41.683113,-87.645319
41.7107219,-87.6202349
41.7496205,-87.70118
41.8534316,-87.6808992
41.8534316,-87.6808992
41.682648,-87.672983
41.7672639,-87.6282291
41.88448,-87.759271
41.735012,-87.609466
41.776781,-87.593424
41.776781,-87.593424
41.7975629,-87.6637949
41.8607705,-87.716484
41.6924232,-87.6351612
41.8637171,-87.8618068
41.8039465,-87.6113514
41.838478,-87.73445
41.860763,-87.7082889
41.7715636,-87.5821223
41.86078,-87.707066
41.974834,-87.660185
41.68838,-87.666048
41.8661376,-87.6551235
41.762985,-87.562201
41.90095,-87.7278089
41.7645591,-87.6836742
41.7710966,-87.617012
41.6586335,-87.6020262
41.801307,-87.654192
41.801307,-87.654192
41.770887,-87.620692
41.6926212,-87.6210276
41.78271,-87.688968
41.7585943,-87.6029176
41.8025475,-87.6429504
41.8025475,-87.6429504
41.725096,-87.60182
41.7791639,-87.6885395
41.823329,-87.628911
41.941606,-87.7643329
41.761277,-87.653153
41.734438,-87.547334
41.751533,-87.6829725
41.8012382,-87.6708756
41.765974,-87.673715
41.700845,-87.561047
41.9040397,-87.7597669
41.9222775,-87.7561044
41.9222775,-87.7561044
41.7564251,-87.6247134
41.9691387,-87.6527435
41.9020205,-87.7741649
41.9020205,-87.7741649
41.7670627,-87.6420202
41.781942,-87.612409
41.895722,-87.718973
41.65807,-87.611468
41.7312559,-87.5986619
41.911335,-87.764638
41.845704,-87.731885
41.845704,-87.731885
41.780855,-87.690129
41.88217,-87.748024
41.88217,-87.748024
41.8131756,-87.6066212
41.876697,-87.70441
41.735373,-87.553162
41.875494,-87.728084
41.875455,-87.730578
41.8782039,-87.72816
41.8782039,-87.72816
41.7531326,-87.6004016
41.9099379,-87.726338
41.7710382,-87.6218248
41.7522056,-87.6618688
41.812224,-87.6675502
41.9123888,-87.745986
41.8068813,-87.6576535
41.806366,-87.7174129
41.7018119,-87.606607
41.8924342,-87.6672717
41.7942972,-87.6256167
41.788104,-87.692766
41.8580494,-87.6499659
41.868241,-87.702072
41.750759,-87.6540459
41.753233,-87.580034
41.753342,-87.561738
41.7867566,-87.6619966
41.757331,-87.666222
41.9571532,-87.7517306
41.8879493,-87.7720757
41.812069,-87.670258
41.790449,-87.6490479
41.7409833,-87.5539172
41.8769735,-87.7353535
41.7206704,-87.574057
41.7206704,-87.574057
41.886288,-87.6720239
41.762634,-87.590726
41.7135828,-87.5609776
