Name,Address,Date,Time,Neighborhood,Age,Gender,Race,Latitude,Longitude
395,"2400 W. 79th St., Chicago, IL",11/7/2012,4:33 p.m.,Ashburn,20,Male,Black,41.7501724,-87.6829526
396,"2600 W. 83rd St., Chicago, IL",11/8/2012,11:27 p.m.,Ashburn,17,Male,Black,41.742954,-87.6877513
397,"9000 S. Colfax Ave., Chicago, IL",11/9/2012,,Calumet Heights,19,Male,Black,41.7314385,-87.5609568
398,"2600 E. 79th St., Chicago, IL",11/10/2012,12:56 p.m.,South Shore,20,Male,Black,41.7518883,-87.5612041
399,"11300 S. Stewart Ave., Chicago, IL",11/12/2012,11:35 p.m.,Roseland,16,Female,White,41.688692,-87.6329499
400,"1100 W. 84th St., Chicago, IL",11/13/2012,7:40 p.m.,Auburn Gresham,40,Male,White,41.7414467,-87.6510553
401,"4900 N. Whipple St., Chicago, IL",11/15/2012,10:55 a.m.,Albany Park,24,Male,White,41.97047,-87.705204
402,"5900 S. Richmond St., Chicago, IL",11/15/2012,5:38 p.m.,Chicago Lawn,15,Male,White,41.7863205,-87.6972578
403,"5100 W. Thomas St., Chicago, IL",11/15/2012,6:32 p.m.,Austin,26,Male,White,41.9004495,-87.7532816
404,"1200 S. Kolin Ave., Chicago, IL",11/16/2012,1:11 p.m.,North Lawndale,49,Male,Black,41.8660286,-87.733753
405,"2500 S. Trumbull Ave., Chicago, IL",11/17/2012,3:15 a.m.,South Lawndale,20,Male,White,41.84612,-87.711517
406,"6600 S. Bell Ave., Chicago, IL",11/17/2012,7:20 a.m.,Chicago Lawn,22,Male,Black,41.773689,-87.680059
407,"700 W. 51st St., Chicago, IL",11/18/2012,11:43 a.m.,New City,23,Male,Black,41.801867,-87.643079
408,"4300 S. Hermitage Ave., Chicago, IL",11/18/2012,10:42 a.m.,New City,16,Male,White,41.8158117,-87.6688232
409,"6000 S. Michigan Ave., Chicago, IL",11/19/2012,8:24 p.m.,Washington Park,32,Male,Black,41.7855608,-87.6222531
410,"3400 W. Sunnyside Ave., Chicago, IL",11/20/2012,10:57 p.m.,Albany Park,22,Male,Black,41.9630579,-87.7135297
