"1","3000 W. Lawrence Ave., Chicago, IL","41.968762","-87.70387"
"2","2400 E. 78th St., Chicago, IL","41.753549","-87.5662502"
"3","2400 W. 71st St., Chicago, IL","41.764703","-87.6833121"
"4","1000 N. Pulaski Rd., Chicago, IL","41.899155","-87.726526"
"5","5700 S. Laflin St., Chicago, IL","41.790258","-87.66239"
"6","4600 W. Monroe St., Chicago, IL","41.8793249","-87.7405902"
"7","4400 W. Monroe St., Chicago, IL","41.8796708","-87.7354535"
"8","5600 S. Justine St., Chicago, IL","41.7921996","-87.6633389"
"9","2300 S. Whipple St., Chicago, IL","41.8498469","-87.701862"
"10","2200 N. Lawler Ave., Chicago, IL","41.920647","-87.752698"
"11","1 W. 69th St., Chicago, IL","41.7691195","-87.6249673"
"12","5700 S. Sangamon St., Chicago, IL","41.790449","-87.6490479"
"13","5800 N. Kenmore Ave., Chicago, IL","41.987547","-87.657122"
"14","8400 S. Peoria St., Chicago, IL","41.7414748","-87.6462285"
"15","4900 W. Polk St., Chicago, IL","41.870492","-87.747137"
"16","5800 S. Fairfield Ave., Chicago, IL","41.788104","-87.692766"
"17","1400 E. 76th St., Chicago, IL","41.757191","-87.590571"
"18","6300 S. Campbell Ave., Chicago, IL","41.7791945","-87.6860993"
"19","1500 W. 94th St., Chicago, IL","41.7230766","-87.6602959"
"20","7200 S. Western Ave., Chicago, IL","41.7626","-87.683579"
"21","300 W. Chicago Ave., Chicago, IL","41.8966006","-87.6357174"
"22","1800 W. Juneway Terrace, Chicago, IL","42.022792","-87.674571"
"23","600 E. 90th Pl., Chicago, IL","41.730445","-87.609353"
"24","7400 S. Merrill Ave., Chicago, IL","41.760564","-87.572815"
"25","7600 N. Sheridan Rd., Chicago, IL","42.019401","-87.666521"
"26","7600 N. Sheridan Rd., Chicago, IL","42.019401","-87.666521"
"27","2000 W. 68th St., Chicago, IL","41.770517","-87.673975"
"28","5600 S. Perry Ave., Chicago, IL","41.792735","-87.628024"
"29","1900 S. Troy St., Chicago, IL","41.8554047","-87.7041453"
"30","5900 S. Calumet Ave., Chicago, IL","41.7874666","-87.6174363"
"31","2800 W. 66th St., Chicago, IL","41.7736458","-87.6932603"
"32","1200 W. 59th St., Chicago, IL","41.7869017","-87.6547039"
"33","1100 N. Western Ave., Chicago, IL","41.9017182","-87.6869317"
"34","3000 W. 23rd St., Chicago, IL","41.8500197","-87.7003002"
"35","200 N. Lorel Ave., Chicago, IL","41.88448","-87.759271"
"36","1900 S. Lawndale Ave., Chicago, IL","41.854945","-87.71791"
"37","6400 S. King Dr., Chicago, IL","41.7783997","-87.6156116"
"38","3500 W. Huron St., Chicago, IL","41.893939","-87.7139849"
"39","3400 N. Monticello Ave., Chicago, IL","41.9428657","-87.7187318"
"40","1600 N. Elston Ave., Chicago, IL","41.910704","-87.6621738"
"41","5300 S. Hoyne Ave., Chicago, IL","41.797418","-87.677176"
"42","5000 S. Hermitage Ave., Chicago, IL","41.802979","-87.668814"
"43","2800 W. 25th St., Chicago, IL","41.8464704","-87.6952859"
"44","2500 E. 79th St., Chicago, IL","41.7517645","-87.563802"
"45","2500 E. 79th St., Chicago, IL","41.7517645","-87.563802"
"46","7000 S. Yale Ave., Chicago, IL","41.7672117","-87.6310705"
"47","1500 S. Kedzie Ave., Chicago, IL","41.8609168","-87.7055142"
"48","3800 W. Jackson Blvd., Chicago, IL","41.8771722","-87.7207231"
"49","4800 S. Laflin St., Chicago, IL","41.806691","-87.6628269"
"50","12000 S. Indiana Ave., Chicago, IL","41.676074","-87.618118"
"51","11600 S. Ada St., Chicago, IL","41.68295","-87.6558079"
"52","300 E. 53rd St., Chicago, IL","41.7984098","-87.6192972"
"53","6800 S. Rockwell St., Chicago, IL","41.769941","-87.68863"
"54","5500 S. Prairie Ave., Chicago, IL","41.794168","-87.619449"
"55","1400 W. 79th Pl., Chicago, IL","41.7493331","-87.6731166"
"56","500 E. 104th Pl., Chicago, IL","41.704656","-87.6099955"
"57","11800 S. Sangamon St., Chicago, IL","41.679448","-87.645966"
"58","5800 W. Huron St., Chicago, IL","41.893186","-87.770248"
"59","200 E. 55th Pl., Chicago, IL","41.7938359","-87.6208121"
"60","2200 S. Wood St., Chicago, IL","41.8522437","-87.6709325"
"61","6500 S. Drexel Ave., Chicago, IL","41.776642","-87.603683"
"62","3000 E. 79th Pl., Chicago, IL","41.7510188","-87.5514998"
"63","2600 W. Lithuanian Plaza Court, Chicago, IL","41.7682718","-87.6882869"
"64","400 N. Lockwood Ave., Chicago, IL","41.887939","-87.758182"
"65","1600 N. Spaulding Ave., Chicago, IL","41.9100247","-87.7094805"
"66","2300 S. Damen Ave., Chicago, IL","41.850248","-87.676096"
"67","900 E. 79th St., Chicago, IL","41.7513121","-87.6027422"
"68","8500 S. Kingston Ave., Chicago, IL","41.740718","-87.562774"
"69","3600 W. 64th St., Chicago, IL","41.7769868","-87.7131253"
"70","3000 S. St. Louis Ave., Chicago, IL","41.8387927","-87.7125413"
"71","5200 S. Troy St., Chicago, IL","41.798865","-87.702833"
"72","6300 N. Oakley Ave., Chicago, IL","41.9959672","-87.6873938"
"73","3100 S. Springfield Ave., Chicago, IL","41.8368979","-87.7219179"
"74","6400 S. Ellis Ave., Chicago, IL","41.7778881","-87.6004175"
"75","800 E. 79th St., Chicago, IL","41.7512965","-87.6051528"
"76","5900 S. Fairfield Ave., Chicago, IL","41.7864116","-87.6923934"
"77","7500 S. Wolcott Ave., Chicago, IL","41.75738","-87.6712639"
"78","1400 W. 53rd St., Chicago, IL","41.7977555","-87.659833"
"79","1300 N. Harding Ave., Chicago, IL","41.9044525","-87.7251511"
"80","2500 W. Lexington St., Chicago, IL","41.8720509","-87.6886237"
