latitude,longitude,weight,type
41.93892,-87.8101,1468,potential
41.94392,-87.8101,1505,potential
41.94892,-87.8101,1583,potential
41.97892,-87.8101,1328,potential
41.98392,-87.8101,1311,potential
41.98892,-87.8101,1425,potential
41.99392,-87.8101,1433,potential
41.99892,-87.8101,1460,potential
42.00392,-87.8101,1568,potential
42.00892,-87.8101,1616,potential
42.01392,-87.8101,1638,potential
41.90892,-87.8051,996,potential
41.91392,-87.8051,1070,potential
41.91892,-87.8051,1163,potential
41.92392,-87.8051,1179,potential
41.92892,-87.8051,1292,potential
41.93392,-87.8051,1357,potential
41.93892,-87.8051,1434,potential
41.94392,-87.8051,1504,potential
41.94892,-87.8051,1536,potential
41.95392,-87.8051,1471,potential
41.96892,-87.8051,1388,potential
41.97392,-87.8051,1383,potential
41.97892,-87.8051,1269,potential
41.98392,-87.8051,1322,potential
41.98892,-87.8051,1401,potential
41.99392,-87.8051,1420,potential
41.99892,-87.8051,1475,potential
41.77392,-87.8001,1080,potential
41.77892,-87.8001,1033,potential
41.78392,-87.8001,955,potential
41.78892,-87.8001,932,potential
41.79392,-87.8001,870,potential
41.91392,-87.8001,1119,potential
41.91892,-87.8001,1193,potential
41.92392,-87.8001,1254,potential
41.92892,-87.8001,1324,potential
41.93392,-87.8001,1399,potential
41.93892,-87.8001,1451,potential
41.94392,-87.8001,1519,potential
41.94892,-87.8001,1506,potential
41.95392,-87.8001,1494,potential
41.96892,-87.8001,1414,potential
41.97392,-87.8001,1329,potential
41.97892,-87.8001,1301,potential
41.98392,-87.8001,1298,potential
41.98892,-87.8001,1395,potential
41.99392,-87.8001,1391,potential
41.99892,-87.8001,1519,potential
41.77392,-87.7951,1115,potential
41.77892,-87.7951,1138,potential
41.78392,-87.7951,1020,potential
41.78892,-87.7951,980,potential
41.79392,-87.7951,928,potential
41.79892,-87.7951,971,potential
41.91392,-87.7951,1105,potential
41.91892,-87.7951,1166,potential
41.92392,-87.7951,1195,potential
41.92892,-87.7951,1289,potential
41.93392,-87.7951,1360,potential
41.93892,-87.7951,1431,potential
41.94392,-87.7951,1492,potential
41.94892,-87.7951,1473,potential
41.95392,-87.7951,1594,potential
41.95892,-87.7951,1406,potential
41.96892,-87.7951,1353,potential
41.97392,-87.7951,1294,potential
41.97892,-87.7951,1288,potential
41.98392,-87.7951,1301,potential
41.98892,-87.7951,1277,potential
41.99392,-87.7951,1409,potential
41.99892,-87.7951,1470,potential
41.77392,-87.7901,1145,potential
41.77892,-87.7901,1140,potential
41.78392,-87.7901,1087,potential
41.78892,-87.7901,1047,potential
41.79392,-87.7901,991,potential
41.79892,-87.7901,1021,potential
41.91392,-87.7901,1109,potential
41.91892,-87.7901,1112,potential
41.92392,-87.7901,1265,potential
